age,female,male
0,24297,25641
1,24155,25442
2,24012,25245
3,23871,25049
4,23730,24855
5,23390,24442
6,23252,24252
7,23115,24064
8,23308,24240
9,23502,24417
10,23834,24580
11,24032,24759
12,24232,24940
13,24543,25518
14,24858,26109
15,24888,26660
16,25208,27277
17,25531,27909
18,26453,29067
19,27409,30273
20,29553,32947
21,30621,34314
22,31727,35737
23,31485,35244
24,31245,34757
25,30855,33675
26,30620,33211
27,30387,32752
28,29101,31482
29,27870,30261
30,25515,28016
31,24435,26930
32,23402,25885
33,23317,25826
34,23233,25767
35,23887,26569
36,23800,26508
37,23715,26448
38,23354,25943
39,22999,25449
40,22794,24984
41,22447,24507
42,22106,24039
43,21268,23125
44,20462,22245
45,19882,21764
46,19129,20936
47,18404,20139
48,16929,18362
49,15573,16742
50,13640,14427
51,12547,13154
52,11541,11993
53,11002,11367
54,10489,10774
55,10140,10436
56,9667,9891
57,9216,9375
58,8938,8951
59,8668,8546
60,8557,8250
61,8297,7877
62,8047,7521
63,7714,7099
64,7395,6700
65,7112,6338
66,6817,5983
67,6535,5647
68,6147,5235
69,5782,4854
70,5445,4527
71,5122,4198
72,4817,3892
73,4416,3484
74,4048,3119
75,3676,2751
76,3369,2463
77,3088,2204
78,2787,1934
79,2515,1697
80,2332,1514
81,2104,1329
82,1899,1166
83,1583,954
84,1319,781
85,1073,623
86,893,510
87,744,418
88,569,319
89,435,243
90,306,168
91,233,128
92,178,98
93,141,83
94,112,70
95,92,65
96,72,55
97,57,47
98,45,40
99,36,34
100+,21,17