area,year,m_retire,w_retire,wc_retire,avg_salary,individual_rate,enterprise_rate,insurance_rate,growth,collectrate,transition,account_rate,m_month,w_month,wc_month
1,1965,60,50,55,590,0,0,0,0.076143345,0,0,0,0,0,0
1,1966,60,50,55,583,0,0,0,-0.000267797,0,0,0,0,0,0
1,1967,60,50,55,587,0,0,0,0.081174957,0,0,0,0,0,0
1,1968,60,50,55,577,0,0,0,-0.00033322,0,0,0,0,0,0
1,1969,60,50,55,575,0,0,0,-4.12E-05,0,0,0,0,0,0
1,1970,60,50,55,561,0,0,0,-0.00021913,0,0,0,0,0,0
1,1971,60,50,55,560,0,0,0,0.001160428,0,0,0,0,0,0
1,1972,60,50,55,588,0,0,0,0.073451453,0,0,0,0,0,0
1,1973,60,50,55,587,0,0,0,-0.000153061,0,0,0,0,0,0
1,1974,60,50,55,584,0,0,0,-0.000259966,0,0,0,0,0,0
1,1975,60,50,55,580,0,0,0,-0.000316438,0,0,0,0,0,0
1,1976,60,50,55,575,0,0,0,-0.000275862,0,0,0,0,0,0
1,1977,60,50,55,576,0,0,0,0.07865217,0,0,0,0,0,0
1,1978,60,50,55,615,0,0,0,0.1009375,0,0,0,0,0,0
1,1979,60,50,55,668,0,0,0,0.108360976,0,0,0,0,0,0
1,1980,60,50,55,762,0,0,0,0.126646707,0,0,0,0,0,0
1,1981,60,50,55,772,0,0,0,0.084811024,0,0,0,0,0,0
1,1982,60,50,55,798,0,0,0,0.087310881,0,0,0,0,0,0
1,1983,60,50,55,826,0,0,0,0.075578947,0,0,0,0,0,0
1,1984,60,50,55,974,0,0,0,0.16125908,0,0,0,0,0,0
1,1985,60,50,55,1148,0,0,0,0.160780287,0,0,0,0,0,0
1,1986,60,50,55,1329,0,0,0,0.141898955,0,0,0,0,0,0
1,1987,60,50,55,1459,0,0,0,0.088036117,0,0,0,0,0,0
1,1988,60,50,55,1747,0,0,0,0.177655929,0,0,0,0,0,0
1,1989,60,50,55,1935,0,0,0,0.096851746,0,0,0,0,0,0
1,1990,60,50,55,2140,0,0,0,0.095348837,0,0,0,0,0,0
1,1991,60,50,55,2340,0,0,0,0.08411215,0,0,0,0,0,0
1,1992,60,50,55,2711,0,0,0,0.142692308,0,0,0,0,0,0
1,1993,60,50,55,3371,0,0,0,0.21910734,0,0,0,0,0,0
1,1994,60,50,55,4538,0,0,0,0.311569267,0,0,0,0,0,0
1,1995,60,50,55,5500,0,0,0,0.190788894,0,0,0,0,0,0
1,1996,60,50,55,6210,0,0,0,0.116181818,0,0,0,0,0,0
1,1997,60,50,55,6470,0.04,0.2,0,0.087681159,0.827972131,0.012,0.0327,120,120,120
1,1998,60,50,55,7479,0.04,0.2,0,0.140355487,0.818272131,0.012,0.0327,120,120,120
1,1999,60,50,55,8346,0.04,0.2,0,0.10433213,0.816831621,0.012,0.0327,120,120,120
1,2000,60,50,55,9371,0.05,0.2,0,0.110531991,0.836831621,0.012,0.0327,120,120,120
1,2001,60,50,55,10870,0.05,0.2,0,0.143965425,0.886012821,0.012,0.0327,120,120,120
1,2002,60,50,55,12422,0.06,0.2,0,0.12850046,0.841198841,0.012,0.0327,120,120,120
1,2003,60,50,55,14040,0.06,0.2,0,0.1172275,0.81708191,0.012,0.0327,120,120,120
1,2004,60,50,55,16024,0.07,0.2,0,0.127179487,0.806562549,0.012,0.0327,120,120,120
1,2005,60,50,55,18364,0.07,0.2,0,0.131427858,0.799247862,0.012,0.0327,139,195,170
1,2006,60,50,55,21001,0.08,0.2,0,0.12923655,0.837726818,0.012,0.0327,139,195,170
1,2007,60,50,55,24932,0.08,0.2,0,0.168463407,0.817362598,0.012,0.0327,139,195,170
1,2008,60,50,55,29229,0.08,0.2,0,0.15511391,0.80112008,0.012,0.0327,139,195,170
1,2009,60,50,55,32736,0.08,0.2,0,0.10798522,0.809253049,0.012,0.0327,139,195,170
1,2010,60,50,55,37147,0.08,0.2,0,0.121270161,0.622068439,0.012,0.0327,139,195,170
1,2011,60,50,55,42452,0.08,0.2,0,0.128529895,0.640054961,0.012,0.0327,139,195,170
1,2012,60,50,55,47593,0.08,0.2,0,0.108991331,0.63783,0.012,0.0327,139,195,170
1,2013,60,50,55,52388,0.08,0.2,0,0.090675099,0.63382,0.012,0.0327,139,195,170
1,2014,60,50,55,57361,0.08,0.2,0,0.085433687,0.61301,0.012,0.0327,139,195,170
1,2015,60,50,55,63241,0.08,0.2,0,0.092257806,0.62211,0.012,0.0327,139,195,170
1,2016,60,50,55,68993,0.08,0.2,0.624314643,0.095858288,0.622247862,0.012,0.0831,139,195,170
1,2017,60,50,55,76121,0.08,0.2,0.646113986,0.096983346,0.686562549,0.012,0.0712,139,195,170
1,2018,60,50,55,84744,0.08,0.2,0.661216226,0.101952155,0.694708191,0.012,0.0829,139,195,170
1,2019,60,50,55,93383,0.08,0.2,0.668762885,0.091748088,0.667972131,0.012,0.0761,139,195,170
1,2020,60,50,55,100512,0.08,0.16,0.648009341,0.068707366,0.612199591,0.012,0.0604,139,195,170
1,2021,60,50,55,108050.4,0.08,0.16,0.658009341,0.0675,0.622199591,0.012,0.0718,139,195,170
1,2022,60,50,55,116154.18,0.08,0.16,0.668009341,0.0675,0.632199591,0.012,0.0718,139,195,170
1,2023,60,50,55,124865.7435,0.08,0.16,0.678009341,0.0675,0.642199591,0.012,0.0718,139,195,170
1,2024,60,50,55,134230.6743,0.08,0.16,0.688009341,0.0675,0.652199591,0.012,0.0718,139,195,170
1,2025,60,50,55,144297.9748,0.08,0.16,0.698009341,0.0675,0.662199591,0.012,0.0718,139,195,170
1,2026,60,50,55,155120.3229,0.08,0.16,0.708009341,0.0675,0.672199591,0.012,0.0718,139,195,170
1,2027,60,50,55,166754.3472,0.08,0.16,0.718009341,0.0675,0.682199591,0.012,0.0718,139,195,170
1,2028,60,50,55,179260.9232,0.08,0.16,0.728009341,0.0675,0.692199591,0.012,0.0718,139,195,170
1,2029,60,50,55,192705.4924,0.08,0.16,0.738009341,0.0675,0.702199591,0.012,0.0718,139,195,170
1,2030,60,50,55,207158.4044,0.08,0.16,0.748009341,0.0675,0.712199591,0.012,0.0718,139,195,170
1,2031,60,50,55,218552.1166,0.08,0.16,0.758009341,0.0495,0.722199591,0.012,0.0718,139,195,170
1,2032,60,50,55,230572.483,0.08,0.16,0.768009341,0.0495,0.732199591,0.012,0.0718,139,195,170
1,2033,60,50,55,243253.9696,0.08,0.16,0.778009341,0.0495,0.742199591,0.012,0.0718,139,195,170
1,2034,60,50,55,256632.9379,0.08,0.16,0.788009341,0.0495,0.752199591,0.012,0.0718,139,195,170
1,2035,60,50,55,270747.7495,0.08,0.16,0.798009341,0.0495,0.762199591,0.012,0.0718,139,195,170
1,2036,60,50,55,285638.8757,0.08,0.16,0.808009341,0.0495,0.772199591,0.012,0.0718,139,195,170
1,2037,60,50,55,301349.0139,0.08,0.16,0.818009341,0.0495,0.782199591,0.012,0.0718,139,195,170
1,2038,60,50,55,317923.2097,0.08,0.16,0.828009341,0.0495,0.792199591,0.012,0.0718,139,195,170
1,2039,60,50,55,335408.9862,0.08,0.16,0.838009341,0.0495,0.802199591,0.012,0.0718,139,195,170
1,2040,60,50,55,353856.4804,0.08,0.16,0.848009341,0.0495,0.812199591,0.012,0.0718,139,195,170
1,2041,60,50,55,373318.5869,0.08,0.16,0.858009341,0.0495,0.822199591,0.012,0.0718,139,195,170
1,2042,60,50,55,393851.1091,0.08,0.16,0.868009341,0.0495,0.832199591,0.012,0.0718,139,195,170
1,2043,60,50,55,415512.9201,0.08,0.16,0.878009341,0.0495,0.842199591,0.012,0.0718,139,195,170
1,2044,60,50,55,438366.1307,0.08,0.16,0.888009341,0.0495,0.852199591,0.012,0.0718,139,195,170
1,2045,60,50,55,462476.2679,0.08,0.16,0.898009341,0.0495,0.862199591,0.012,0.0718,139,195,170
1,2046,60,50,55,487912.4627,0.08,0.16,0.908009341,0.0495,0.872199591,0.012,0.0718,139,195,170
1,2047,60,50,55,514747.6481,0.08,0.16,0.918009341,0.0495,0.882199591,0.012,0.0718,139,195,170
1,2048,60,50,55,543058.7688,0.08,0.16,0.928009341,0.0495,0.892199591,0.012,0.0718,139,195,170
1,2049,60,50,55,572927.0011,0.08,0.16,0.938009341,0.0495,0.902199591,0.012,0.0718,139,195,170
1,2050,60,50,55,604437.9861,0.08,0.16,0.948009341,0.0495,0.912199591,0.012,0.0718,139,195,170
